	H1650	H23	CAL-12T	H358	H1975	HCC15	H1355	HCC827	H2405	HCC78	H1666	H661	H838	H1703	CALU-3	H2342	H2228	H1299	H1792	H460	H2106	H441	H1944	H1437	H1734	LOU-NH91	HCC44	A549	H1781
MED6	0.134858988	0.018525894	1.791788144	1.969413582	1.837218442	-0.951147908	0.774478507	1.090646645	0.363436279	-0.062211851	0.17873667	0.189137141	1.481796196	-0.342997139	-0.915535421	0.596338958	1.590496452	1.097141584	0.388293558	0.294759584	0.704677622	1.102805376	0.767587703	0.491874979	-1.229431188	-2.5545478	0.847597123	0.760912825	1.588491418
NR2E3	-0.52203572	1.805873767	2.325312736	-0.594962856	-0.201956394	1.680656558	1.986138488	-0.216332827	0.087542515	-0.724553299	2.051087924	-1.298901679	0.421883188	-0.608174627	1.117987016	1.457630812	-0.87165049	0.234533827	0.216414827	0.419236231	-0.795017613	0.824934279	-1.368781361	1.868701033	0.013317219	-1.545220652	0.030400453	0.850616673	-0.467287429
ZSCAN30	-0.024150391	-0.914260937	-0.577021008	0.286055273	0.406524066	-2.173721183	-0.19222646	0.992254478	1.022817966	0.258651133	0.434429077	0.90559457	-0.630268877	0.904719969	-0.112744438	-0.069293118	-0.115794622	0.310275662	0.116123408	-1.068782629	-0.204353992	0.593100304	-0.128423027	-1.754466616	0.351443517	0.924865313	-0.446453858	-1.893748945	0.424095695
HDAC5	-0.757396438	-0.368582756	-0.171662272	-0.976587666	-1.225296174	-1.099399972	-1.740347798	-1.241884976	-0.720529689	-0.235839402	-0.996970606	0.337692999	0.033396153	-0.116831526	0.157542481	0.182333043	-0.926802732	-0.55038639	-0.94846205	-1.529875058	2.246144279	-0.06493851	-1.812813152	-0.317784954	-0.492416165	-1.350436841	0.588388128	-0.734423686	0.05056756
ZNF263	-0.650180379	0.797057704	-1.122017321	-0.144766081	-0.761211895	-0.28859945	-1.192709864	-0.599751322	0.976724437	0.429828208	0.394785301	-1.164947712	-0.449773748	-0.401355018	0.259377783	-1.862276563	0.291818589	-1.826214606	-0.661347194	-0.150493694	2.914815308	-0.174873969	-0.041474641	0.179797933	-1.139574024	-0.393170577	0.600808453	0.313227171	0.273409473
CEBPZ	-0.602227821	1.988337752	0.027061461	0.345670235	0.263796016	1.495671875	0.418099644	1.073362155	0.595401002	0.876115354	1.906156385	0.089854092	2.054201867	0.634888756	0.55061494	0.865345967	0.343232245	-0.316983032	0.053879347	1.885251103	-0.001656905	0.023606043	0.808216382	-0.443604919	0.753217639	-1.523154417	0.876864028	1.197238905	0.901243925
ZNF197	-0.31438409	-1.626876614	-0.822924965	0.734673733	-1.010723398	-1.492432068	-0.292078566	-1.337282828	-1.350365264	-0.875113913	-0.413965284	-0.961585669	2.188378643	-0.10280467	-0.253839974	-0.942857901	-1.18765934	-0.169401077	-0.088968109	-0.973233145	0.206431092	-0.582297253	-1.286534627	-1.3215137	-0.383003713	0.392848569	-0.16449444	-1.438850593	-0.133789387
ZNF256	1.324846183	1.086370123	0.834273953	1.287282414	2.077008143	0.464022133	1.217556592	1.466827029	0.036475455	-0.022016851	-1.347236049	-0.28062164	0.570140686	1.013814795	-0.22744277	-0.300400265	0.508311072	0.388222304	-0.652095052	-1.407584511	0.973955731	0.563407971	0.776693126	-0.845904905	0.571194771	0.606795995	-1.42424917	-0.662090377	0.58528873
TSHZ1	-1.046298409	-1.417543186	-2.399493798	-0.796444987	-0.535359885	-0.502720956	-0.542488665	-1.166945683	0.366275611	0.222698859	-0.739178588	-1.882519	-0.743643077	0.102472017	-0.505428607	-0.211776584	0.189848552	-0.391471872	0.502871471	-0.046301692	0.112281349	0.206181179	-0.913703246	0.052923624	-2.424537831	0.292700588	-0.904706131	-1.051191848	-2.255763739
IRX5	2.224472887	-0.267428222	-1.296996949	0.629902373	2.000107726	-0.355878411	0.269881054	-1.120804125	-0.930381009	1.66350719	0.194726335	-0.321747727	0.520032384	-0.038430151	-0.489128624	0.612450419	1.418736241	-0.045884911	-0.887215638	-0.066599731	1.165974876	0.026567707	-0.444960829	2.016755552	1.669442542	-1.028272135	-0.499520478	-0.261428489	1.675058559
CITED2	0.85084595	0.407623318	0.836004664	-0.03453317	0.74113173	0.522138981	1.414207746	0.007021165	-0.040945845	1.10214869	-0.072891601	1.334430302	0.202134431	2.162323628	-1.445983063	0.918787673	0.723243144	0.438222166	-0.16009854	-0.103590361	-0.531381724	0.002848911	-1.031213711	0.34771625	0.398742576	0.478780548	0.989459257	-1.533589648	0.14236079
IRF9	0.817197755	-0.958155275	1.275800221	0.22848593	0.678775968	0.283643031	1.303769764	0.437347671	0.713125328	1.08149582	0.322020758	-0.696257288	-0.200509292	-0.087424021	0.406730982	0.704767407	-0.300451388	-1.063472449	-1.035878604	-2.018330379	-1.208509354	0.910809447	0.461715528	-1.143653113	0.344179915	-0.768022775	-0.171085583	-1.178209539	0.897143117
SCML2	0.226667302	0.721608899	-0.102715734	-0.679786832	-1.199848477	-0.324619888	1.256472603	0.727889414	-1.434552046	-0.410594747	-1.042158667	0.833493397	0.764649135	1.043739771	-1.138822672	0.15630924	-0.468098072	0.57035551	0.182813335	1.000164424	2.294822582	-1.747283269	-0.393846371	0.236180613	0.184347253	-0.541444509	-1.061707323	1.101094231	-0.348730065
CDX4	0.013462789	0.508529958	-0.470190124	-0.578806587	-0.850443022	2.426863432	-0.264376218	-0.673726895	-0.609181086	0.004325667	-0.758962235	-0.358648638	-0.210568194	0.022990549	-1.053960738	0.880779538	-1.69345922	-0.384964311	0.047557878	-0.178912211	-0.838604781	-1.337821289	-0.964228295	-0.341122324	-0.80315675	-0.842334899	0.659297231	-0.350726306	-0.026677663
CEBPA	-0.209731535	-0.577126966	0.258761439	-0.66746246	-0.588757536	-0.234984722	-0.403804424	-1.009811703	-0.549355506	-0.433990035	1.219360798	-0.232612345	-0.247880351	-0.141575426	-0.565194628	1.106698776	-0.47008383	-0.90283528	-0.660420148	-0.094717088	0.206840992	0.143396592	2.212703943	-0.270418242	-1.029112438	-0.620420816	-0.47733314	0.194075672	0.078380375
MYBBP1A	0.000291238	1.44117025	0.189463307	-0.087984004	0.226015524	-0.226264659	0.666469947	2.543772719	-0.673171578	-0.434413479	-0.736985161	0.052304826	-0.093292857	1.818732875	-0.301556184	-1.30505673	-1.577043466	1.045144726	1.493338423	0.727777247	-0.53758328	-0.640983528	0.362758916	-0.876191895	-1.14312742	0.072390868	1.120659541	1.145828284	-0.648061521
DEAF1	-2.616258804	-1.58994563	-0.852580238	-0.663415227	-0.649919397	0.709381428	-1.722695297	-0.699795889	-0.756247891	-0.763502716	-0.483811052	-1.076028392	-1.345503962	-1.761347603	-0.712970963	-0.425231747	0.313557575	-0.523343147	1.135480113	-0.48812179	1.248996991	0.114489207	-1.307961702	-0.721616497	-0.506286919	1.399718187	0.393063951	-0.902593052	-0.451170639
KAT5	-0.248227791	-0.040298456	0.227416053	0.79488513	-0.241217406	2.487146776	0.332204008	-0.622647293	-1.242609878	0.046162966	-0.333514325	-1.246742544	1.02696784	-0.640945698	-0.553183892	0.749505866	1.659393333	-1.741907283	-1.744966754	-1.224685794	1.375329912	1.592091467	-0.191047711	0.78650945	-0.406872385	-1.249864762	-0.479395257	-0.520717585	-0.933603332
