							ACTA1	AHR	AKT1	AKT1S1	ANKRD12	AR	ARID1B	ASF1A	ATAD2	BCL2L11	BLK	BRD4	BRMS1	CAD	CAND1	CARM1	CBL	CCND1	CCNE1	CDC42	CDK13	CDK6	CDKL2	CGN	CHD4	CHTF18	CKM	CLDN1	CSNK2A1	CTR9	CUL3	CUL4B	DDB1	DDB2	DHX38	DKK1	DLST	DTNA	DYNLL1	E2F5	EP300	ESR1	FGFR2	FLII	FOXG1	FOXM1	GATA6	GTPBP4	H3F3B	HDAC1	HIRA	HIRIP3	HOXA10	HSPA8	KAT2A	KAT2B	KDM5B	LIG1	LRP5	MAP3K4	MRE11A	MTOR	MYH9	MYO16	MYOM1	MYOM2	NCOA1	NCOA3	NEDD8	NKX2-1	NOS1	NOTCH1	NPAS2	NSD1	OSBP	PAK4	PCNA	PGR	POGZ	PPP1CA	PPP1R13B	PRMT1	PRPF40A	PSMB9	PTPN11	RACGAP1	RAD17	RAD21	RAD9A	RARA	RBX1	RFC2	RFC3	RFC4	RFC5	RORC	SIRT2	SMAD9	SMARCA2	SMARCA4	SMNDC1	SMTN	SNRNP200	SNTA1	SRRM1	SRRM2	STAG1	STAG2	STAT3	SUMO2	TFDP1	TJP2	TLK1	TLK2	TLN1	TOP2B	TOPBP1	TP63	TRIM54	TRIM55	TRIM63	TSC1	TTN	UCHL3	USP40	YWHAB	YWHAG	ZBTB17	ZHX1	
							Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Not Nucleoplasm	Nucleoplasm: Nucleoplasm	Nucleoplasm: Nucleoplasm	
							TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: TRT	TRT: Not TRT	TRT: Not TRT	TRT: Not TRT	TRT: TRT	TRT: TRT	
							MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	MuscleSystem: Not MuscleSystem	
							CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: Not CellCycle	CellCycle: CellCycle	CellCycle: Not CellCycle	
							Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	Chromatin: Not Chromatin	
							Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	Seed: Not Seed	Seed: Seed	Seed: Not Seed	Seed: Not Seed	Seed: Not Seed	Seed: Seed	Seed: Seed	
ACTA1	Nucleoplasm: Not Nucleoplasm	TRT: Not TRT	MuscleSystem: MuscleSystem	CellCycle: Not CellCycle	Chromatin: Not Chromatin	Seed: Not Seed	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
AHR	Nucleoplasm: Nucleoplasm	TRT: TRT	MuscleSystem: Not MuscleSystem	CellCycle: Not CellCycle	Chromatin: Not Chromatin	Seed: Not Seed	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AKT1	Nucleoplasm: Nucleoplasm	TRT: Not TRT	MuscleSystem: Not MuscleSystem	CellCycle: CellCycle	Chromatin: Not Chromatin	Seed: Not Seed	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
AKT1S1	Nucleoplasm: Nucleoplasm	TRT: TRT	MuscleSystem: Not MuscleSystem	CellCycle: Not CellCycle	Chromatin: Not Chromatin	Seed: Seed	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
